"Nome Lavoura","Ano","Sigla Região Geográfica IBGE","Sigla UF IBGE","Nome Mesorregião","Nome Microrregião","Nome Município IBGE","Área Colhida","Qtd.Produzida","Valor Produção (Moeda em Real)"
"Soja (em grão)","1996","S","RS","Metropolitana de Porto Alegre","Gramado-Canela","Gramado","","",""
"Soja (em grão)","1993","S","PR","Noroeste Paranaense","Paranavaí","Santa Cruz de Monte Castelo","","",""
"Soja (em grão)","2008","S","RS","Sudeste Rio-grandense","Jaguarão","Herval","1","2","1500"
"Soja (em grão)","1994","S","PR","Norte Pioneiro Paranaense","Wenceslau Braz","Siqueira Campos","","",""
"Soja (em grão)","1995","S","RS","Noroeste Rio-grandense","Carazinho","São Pedro das Missões","","",""
"Soja (em grão)","1996","S","SC","Vale do Itajaí","Itajaí","Bombinhas","","",""
"Soja (em grão)","2004","S","PR","Oeste Paranaense","Toledo","São Pedro do Iguaçu","13,7","38,735","28858"
"Soja (em grão)","1999","S","RS","Centro Ocidental Rio-grandense","Santa Maria","Toropi","0,75","1,125","307"
"Soja (em grão)","2012","S","RS","Noroeste Rio-grandense","Soledade","Ibirapuitã","12,6","22,113","19636"
"Soja (em grão)","1996","S","PR","Noroeste Paranaense","Umuarama","Icaraíma","","",""
"Soja (em grão)","1993","S","SC","Serrana","Campos de Lages","Anita Garibaldi","","",""
"Soja (em grão)","2000","S","PR","Sudoeste Paranaense","Pato Branco","Sulina","2,5","6,25","1725"
"Soja (em grão)","1995","S","SC","Oeste Catarinense","Chapecó","Jardinópolis","0,1","0,12","20"
"Soja (em grão)","1993","S","PR","Norte Central Paranaense","Astorga","Colorado","0,1","0,2","0,930909090909091"
"Soja (em grão)","2016","S","SC","Sul Catarinense","Araranguá","Balneário Gaivota","","",""
"Soja (em grão)","2011","S","RS","Metropolitana de Porto Alegre","Montenegro","Pareci Novo","","",""
"Soja (em grão)","2018","S","SC","Oeste Catarinense","Xanxerê","Abelardo Luz","48","181,44",""
"Soja (em grão)","2003","S","RS","Centro Ocidental Rio-grandense","Restinga Seca","Nova Palma","4,3","12,9","8024"
"Soja (em grão)","1994","S","SC","Sul Catarinense","Araranguá","Balneário Gaivota","","",""
"Soja (em grão)","1996","S","RS","Noroeste Rio-grandense","Ijuí","Augusto Pestana","22","34,32","8237"
"Soja (em grão)","2002","S","SC","Sul Catarinense","Tubarão","Imaruí","","",""
"Soja (em grão)","1996","S","RS","Sudoeste Rio-grandense","Campanha Central","Santa Margarida do Sul","","",""
"Soja (em grão)","2009","S","SC","Sul Catarinense","Criciúma","Criciúma","","",""
"Soja (em grão)","1994","S","RS","Noroeste Rio-grandense","Soledade","Tunas","1,5","1,8","345"
"Soja (em grão)","2018","S","SC","Oeste Catarinense","Chapecó","Tigrinhos","0,83","2,739",""
"Soja (em grão)","2004","S","SC","Oeste Catarinense","Chapecó","Saudades","0,99","0,891","624"
"Soja (em grão)","2001","S","RS","Noroeste Rio-grandense","Passo Fundo","Mato Castelhano","12,8","34,56","12850"
"Soja (em grão)","1997","S","SC","Serrana","Campos de Lages","Otacílio Costa","0,203","0,386","101"
"Soja (em grão)","2009","S","SC","Oeste Catarinense","Concórdia","Lindóia do Sul","0,15","0,36","250"
"Soja (em grão)","1997","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Relvado","","",""
"Soja (em grão)","2001","S","SC","Oeste Catarinense","Joaçaba","Vargem Bonita","0,24","0,648","183"
"Soja (em grão)","1992","S","RS","Centro Oriental Rio-grandense","Santa Cruz do Sul","Gramado Xavier","","",""
"Soja (em grão)","2016","S","RS","Noroeste Rio-grandense","Soledade","Tunas","5,5","15,84","15523"
"Soja (em grão)","2012","S","PR","Norte Central Paranaense","Apucarana","Califórnia","4,4","11,44","9396"
"Soja (em grão)","2009","S","PR","Norte Central Paranaense","Ivaiporã","Rio Branco do Ivaí","4,85","13,58","10434"
"Soja (em grão)","2008","S","SC","Oeste Catarinense","Concórdia","Alto Bela Vista","0,13","0,273","191"
"Soja (em grão)","2003","S","PR","Noroeste Paranaense","Paranavaí","Paraíso do Norte","2","5,94","3392"
"Soja (em grão)","2015","S","SC","Oeste Catarinense","Joaçaba","Ibicaré","0,1","0,32","307"
"Soja (em grão)","2016","S","PR","Sudeste Paranaense","União da Vitória","Bituruna","2,5","6,5","7332"
"Soja (em grão)","1993","S","SC","Serrana","Campos de Lages","Bom Jardim da Serra","","",""
"Soja (em grão)","2018","S","SC","Oeste Catarinense","São Miguel do Oeste","Palma Sola","9,6","34,56",""
"Soja (em grão)","2002","S","RS","Noroeste Rio-grandense","Erechim","Barra do Rio Azul","0,17","0,255","105"
"Soja (em grão)","2009","S","SC","Oeste Catarinense","Xanxerê","Xaxim","4,8","12,96","9720"
"Soja (em grão)","1995","S","SC","Oeste Catarinense","São Miguel do Oeste","São José do Cedro","0,1","0,12","20"
"Soja (em grão)","2012","S","RS","Nordeste Rio-grandense","Vacaria","Campestre da Serra","4","10,8","9126"
"Soja (em grão)","1994","S","PR","Sudeste Paranaense","União da Vitória","Bituruna","","",""
"Soja (em grão)","2002","S","SC","Grande Florianópolis","Tijucas","Angelina","","",""
"Soja (em grão)","2005","S","RS","Metropolitana de Porto Alegre","Osório","Tavares","","",""
"Soja (em grão)","2003","S","RS","Noroeste Rio-grandense","Passo Fundo","Casca","3","10,8","6706"
"Soja (em grão)","1998","S","PR","Oeste Paranaense","Cascavel","Três Barras do Paraná","3","7,5","1598"
"Soja (em grão)","2014","S","RS","Noroeste Rio-grandense","Santa Rosa","Cândido Godói","9,5","25,65","26505"
"Soja (em grão)","2014","S","PR","Centro-Sul Paranaense","Pitanga","Pitanga","49","157,35","180953"
"Soja (em grão)","2003","S","SC","Oeste Catarinense","Joaçaba","Água Doce","5,929","14,229","8054"
"Soja (em grão)","2000","S","RS","Metropolitana de Porto Alegre","Porto Alegre","Guaíba","","",""
"Soja (em grão)","1993","S","SC","Oeste Catarinense","Joaçaba","Caçador","","",""
"Soja (em grão)","2015","S","SC","Sul Catarinense","Araranguá","Sombrio","","",""
"Soja (em grão)","2003","S","RS","Centro Ocidental Rio-grandense","Restinga Seca","Formigueiro","2","4,2","2612"
"Soja (em grão)","1995","S","RS","Nordeste Rio-grandense","Guaporé","Guabiju","0,15","0,27","40"
"Soja (em grão)","1993","S","PR","Noroeste Paranaense","Paranavaí","Santa Mônica","","",""
"Soja (em grão)","2011","S","RS","Noroeste Rio-grandense","Passo Fundo","Ibiraiaras","8,3","28,884","20219"
"Soja (em grão)","2000","S","RS","Sudeste Rio-grandense","Pelotas","Canguçu","8","10,8","2709"
"Soja (em grão)","2017","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Nova Bréscia","0,02","0,072","68"
"Soja (em grão)","2004","S","RS","Nordeste Rio-grandense","Vacaria","Lagoa Vermelha","30","52,65","34907"
"Soja (em grão)","2008","S","SC","Serrana","Campos de Lages","Urupema","","",""
"Soja (em grão)","1998","S","RS","Centro Ocidental Rio-grandense","Santa Maria","São Vicente do Sul","1,8","1,404","317"
"Soja (em grão)","2004","S","RS","Sudeste Rio-grandense","Pelotas","Arroio do Padre","0,08","0,088","62"
"Soja (em grão)","2013","S","SC","Sul Catarinense","Araranguá","Maracajá","","",""
"Soja (em grão)","2010","S","RS","Noroeste Rio-grandense","Carazinho","Cerro Grande","3","8,1","5589"
"Soja (em grão)","1996","S","PR","Centro-Sul Paranaense","Palmas","Palmas","8","22","4620"
"Soja (em grão)","2010","S","RS","Noroeste Rio-grandense","Cruz Alta","Saldanha Marinho","12,5","37,5","20312"
"Soja (em grão)","2010","S","RS","Noroeste Rio-grandense","Cruz Alta","Santa Bárbara do Sul","67","192,96","107710"
"Soja (em grão)","2012","S","RS","Noroeste Rio-grandense","Erechim","Marcelino Ramos","1,793","3,8","3420"
"Soja (em grão)","1992","S","PR","Norte Central Paranaense","Ivaiporã","Rosário do Ivaí","","",""
"Soja (em grão)","2009","S","SC","Oeste Catarinense","São Miguel do Oeste","São João do Oeste","0,1","0,158","111"
"Soja (em grão)","2006","S","PR","Metropolitana de Curitiba","Rio Negro","Quitandinha","0,3","0,87","313"
"Soja (em grão)","2017","S","PR","Noroeste Paranaense","Paranavaí","São Pedro do Paraná","0,056","0,14","140"
"Soja (em grão)","2007","S","SC","Oeste Catarinense","Chapecó","Chapecó","6,58","17,766","8137"
"Soja (em grão)","1993","S","SC","Oeste Catarinense","Chapecó","Irati","0,2","0,24","0,850909090909091"
"Soja (em grão)","1993","S","RS","Noroeste Rio-grandense","Santa Rosa","Independência","25","52,5","171,442545454545"
"Soja (em grão)","1999","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Travesseiro","0,5","1,2","300"
"Soja (em grão)","2009","S","RS","Noroeste Rio-grandense","Carazinho","Coqueiros do Sul","12","24","18960"
"Soja (em grão)","2004","S","RS","Noroeste Rio-grandense","Sananduva","Machadinho","8,5","13,26","8592"
"Soja (em grão)","2002","S","RS","Nordeste Rio-grandense","Vacaria","Vacaria","17","32,3","17281"
"Soja (em grão)","1994","S","PR","Oeste Paranaense","Toledo","Ouro Verde do Oeste","7,5","18,592","3347"
"Soja (em grão)","2013","S","SC","Sul Catarinense","Tubarão","Santa Rosa de Lima","","",""
"Soja (em grão)","1995","S","SC","Sul Catarinense","Araranguá","Balneário Arroio do Silva","","",""
"Soja (em grão)","2016","S","PR","Oeste Paranaense","Toledo","Ouro Verde do Oeste","12,78","42,587","44012"
"Soja (em grão)","2007","S","PR","Norte Central Paranaense","Ivaiporã","São João do Ivaí","17","51","22797"
"Soja (em grão)","2009","S","PR","Norte Central Paranaense","Apucarana","Arapongas","","",""
"Soja (em grão)","2016","S","SC","Oeste Catarinense","Joaçaba","Macieira","0,2","0,54","648"
"Soja (em grão)","1993","S","RS","Noroeste Rio-grandense","Sananduva","Barracão","7,6","17,328","47,2581818181818"
"Soja (em grão)","2009","S","RS","Noroeste Rio-grandense","Carazinho","Palmeira das Missões","88","272,8","188232"
"Soja (em grão)","2011","S","PR","Oeste Paranaense","Toledo","Nova Santa Rosa","13,2","43,56","31363"
"Soja (em grão)","1994","S","SC","Oeste Catarinense","Joaçaba","Macieira","","",""
"Soja (em grão)","1997","S","SC","Vale do Itajaí","Rio do Sul","Laurentino","","",""
"Soja (em grão)","2009","S","SC","Oeste Catarinense","Joaçaba","Ouro","0,4","1,2","890"
"Soja (em grão)","2000","S","RS","Noroeste Rio-grandense","Santo Ângelo","Santo Ângelo","35","39,9","11212"
"Soja (em grão)","1997","S","PR","Norte Pioneiro Paranaense","Assaí","Nova Santa Bárbara","4,8","10,56","2851"
"Soja (em grão)","1997","S","PR","Oeste Paranaense","Cascavel","Boa Vista da Aparecida","1,8","4,5","1197"
"Soja (em grão)","2009","S","PR","Sudeste Paranaense","União da Vitória","Paula Freitas","8,95","22,87","18067"
"Soja (em grão)","2009","S","SC","Oeste Catarinense","Concórdia","Paial","","",""
"Soja (em grão)","2004","S","PR","Norte Central Paranaense","Floraí","Itambé","17,35","47,366","37182"
"Soja (em grão)","2008","S","PR","Norte Central Paranaense","Londrina","Pitangueiras","8,34","24,019","16405"
"Soja (em grão)","1996","S","SC","Oeste Catarinense","Concórdia","Arvoredo","0,01","0,016","4"
"Soja (em grão)","1990","S","SC","Oeste Catarinense","Chapecó","Santa Terezinha do Progresso","","",""
"Soja (em grão)","2011","S","RS","Metropolitana de Porto Alegre","Porto Alegre","Cachoeirinha","","",""
"Soja (em grão)","1990","S","PR","Oeste Paranaense","Toledo","Pato Bragado","","",""
"Soja (em grão)","2013","S","PR","Norte Central Paranaense","Porecatu","Bela Vista do Paraíso","16,5","52,812","46580"
"Soja (em grão)","2016","S","SC","Oeste Catarinense","São Miguel do Oeste","Mondaí","0,5","1,35","1485"
"Soja (em grão)","1994","S","RS","Centro Oriental Rio-grandense","Santa Cruz do Sul","Candelária","12","18","3446"
"Soja (em grão)","2016","S","RS","Centro Oriental Rio-grandense","Santa Cruz do Sul","Candelária","16,5","54,45","53361"
"Soja (em grão)","1994","S","SC","Oeste Catarinense","São Miguel do Oeste","Mondaí","0,3","0,54","73"
"Soja (em grão)","1996","S","PR","Norte Pioneiro Paranaense","Jacarezinho","Jundiaí do Sul","0,02","0,042","8"
"Soja (em grão)","2002","S","SC","Vale do Itajaí","Rio do Sul","Lontras","","",""
"Soja (em grão)","1997","S","PR","Sudeste Paranaense","São Mateus do Sul","São João do Triunfo","1","2,48","660"
"Soja (em grão)","1991","S","PR","Oeste Paranaense","Cascavel","Nova Aurora","22,75","39,376","0,581089454545455"
"Soja (em grão)","2010","S","RS","Nordeste Rio-grandense","Caxias do Sul","Nova Roma do Sul","","",""
"Soja (em grão)","2001","S","SC","Vale do Itajaí","Itajaí","Itapema","","",""
"Soja (em grão)","2016","S","PR","Sudoeste Paranaense","Capanema","Pérola d'Oeste","12,05","42,05","47849"
"Soja (em grão)","2012","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Nova Bréscia","0,02","0,04","36"
"Soja (em grão)","2001","S","PR","Sudoeste Paranaense","Francisco Beltrão","Boa Esperança do Iguaçu","1,5","4,8","1358"
"Soja (em grão)","2014","S","PR","Centro Ocidental Paranaense","Campo Mourão","Mamborê","56","188,24","196217"
"Soja (em grão)","1994","S","PR","Sudoeste Paranaense","Capanema","Pérola d'Oeste","9","19,8","3366"
"Soja (em grão)","2018","S","PR","Noroeste Paranaense","Umuarama","Francisco Alves","18,4","66,24",""
"Soja (em grão)","2005","S","SC","Oeste Catarinense","São Miguel do Oeste","Anchieta","0,8","0,72","372"
"Soja (em grão)","2003","S","SC","Vale do Itajaí","Blumenau","Rio dos Cedros","","",""
"Soja (em grão)","2002","S","PR","Noroeste Paranaense","Cianorte","Indianópolis","0,145","0,384","146"
"Soja (em grão)","2002","S","RS","Noroeste Rio-grandense","Três Passos","Redentora","13","9,048","3167"
"Soja (em grão)","2002","S","PR","Sudoeste Paranaense","Pato Branco","Bom Sucesso do Sul","9,9","29,6","11100"
"Soja (em grão)","2005","S","SC","Serrana","Curitibanos","Abdon Batista","1","0,6","290"
"Soja (em grão)","2006","S","RS","Nordeste Rio-grandense","Guaporé","Nova Araçá","0,15","0,36","138"
"Soja (em grão)","2007","S","PR","Oeste Paranaense","Cascavel","Braganey","16,63","53,034","28479"
"Soja (em grão)","2002","S","PR","Centro-Sul Paranaense","Guarapuava","Reserva do Iguaçu","9,73","26,729","11173"
"Soja (em grão)","1999","S","PR","Sudoeste Paranaense","Capanema","Ampére","4,512","10,376","2584"
"Soja (em grão)","1993","S","SC","Serrana","Curitibanos","Santa Cecília","","",""
"Soja (em grão)","2007","S","RS","Noroeste Rio-grandense","Passo Fundo","São Domingos do Sul","0,4","1,2","536"
"Soja (em grão)","2001","S","SC","Oeste Catarinense","Chapecó","União do Oeste","0,21","0,315","95"
"Soja (em grão)","2017","S","RS","Noroeste Rio-grandense","Erechim","Marcelino Ramos","2,75","9,9","9431"
"Soja (em grão)","2012","S","PR","Noroeste Paranaense","Paranavaí","São Pedro do Paraná","","",""
"Soja (em grão)","2009","S","SC","Vale do Itajaí","Itajaí","Itajaí","","",""
"Soja (em grão)","1992","S","PR","Centro-Sul Paranaense","Guarapuava","Inácio Martins","","",""
"Soja (em grão)","2003","S","RS","Metropolitana de Porto Alegre","São Jerônimo","Barão do Triunfo","0,04","0,096","58"
"Soja (em grão)","2000","S","RS","Noroeste Rio-grandense","Frederico Westphalen","Pinheirinho do Vale","1","1,62","457"
"Soja (em grão)","1995","S","PR","Sudeste Paranaense","União da Vitória","Porto Vitória","","",""
"Soja (em grão)","1993","S","RS","Noroeste Rio-grandense","Erechim","Aratiba","5,2","5,616","15,6509090909091"
"Soja (em grão)","1994","S","RS","Metropolitana de Porto Alegre","Osório","Torres","","",""
"Soja (em grão)","1994","S","SC","Norte Catarinense","Canoinhas","Major Vieira","1","2,1","357"
"Soja (em grão)","2016","S","PR","Centro Oriental Paranaense","Telêmaco Borba","Ventania","19,3","68,9","77242"
"Soja (em grão)","2016","S","RS","Noroeste Rio-grandense","Ijuí","Coronel Bicaco","35","126","146916"
"Soja (em grão)","1994","S","PR","Centro Oriental Paranaense","Telêmaco Borba","Ventania","15","37,5","6675"
"Soja (em grão)","2016","S","SC","Norte Catarinense","Canoinhas","Major Vieira","12","43,2","51753"
"Soja (em grão)","1997","S","PR","Centro Ocidental Paranaense","Campo Mourão","Farol","9,8","25,938","6744"
"Soja (em grão)","1994","S","RS","Noroeste Rio-grandense","Ijuí","Coronel Bicaco","33","59,4","10195"
"Soja (em grão)","1991","S","RS","Noroeste Rio-grandense","Santo Ângelo","Ubiretama","","",""
"Soja (em grão)","1990","S","SC","Norte Catarinense","São Bento do Sul","Rio Negrinho","0,1","0,21","0,00279527272727273"
"Soja (em grão)","2002","S","PR","Norte Pioneiro Paranaense","Cornélio Procópio","Ribeirão do Pinhal","3,6","7,56","2948"
"Soja (em grão)","2016","S","RS","Metropolitana de Porto Alegre","Osório","Torres","","",""
"Soja (em grão)","1991","S","PR","Norte Central Paranaense","Londrina","Ibiporã","9,7","17,562","0,437453454545455"
"Soja (em grão)","2001","S","RS","Metropolitana de Porto Alegre","Porto Alegre","Parobé","","",""
"Soja (em grão)","2009","S","SC","Norte Catarinense","Joinville","São Francisco do Sul","","",""
"Soja (em grão)","2009","S","PR","Norte Pioneiro Paranaense","Assaí","Rancho Alegre","10,75","19,995","14316"
"Soja (em grão)","2003","S","SC","Oeste Catarinense","Chapecó","Planalto Alegre","0,15","0,315","184"
"Soja (em grão)","2000","S","PR","Noroeste Paranaense","Umuarama","Mariluz","4","10","2760"
"Soja (em grão)","2009","S","PR","Noroeste Paranaense","Umuarama","Tapira","0,097","0,184","138"
"Soja (em grão)","1997","S","PR","Noroeste Paranaense","Cianorte","São Tomé","1,3","3,25","845"
"Soja (em grão)","2007","S","RS","Noroeste Rio-grandense","Cruz Alta","Cruz Alta","80","200","88130"
"Soja (em grão)","2009","S","PR","Metropolitana de Curitiba","Curitiba","Campina Grande do Sul","","",""
"Soja (em grão)","1999","S","RS","Noroeste Rio-grandense","Frederico Westphalen","Nonoai","18,7","28,05","7013"
"Soja (em grão)","2005","S","RS","Noroeste Rio-grandense","Frederico Westphalen","Caiçara","2,6","1,326","621"
"Soja (em grão)","2003","S","RS","Noroeste Rio-grandense","Frederico Westphalen","Engenho Velho","3,5","8,4","4685"
"Soja (em grão)","1992","S","PR","Noroeste Paranaense","Umuarama","Nova Olímpia","","",""
"Soja (em grão)","1997","S","RS","Noroeste Rio-grandense","Cruz Alta","Boa Vista do Cadeado","","",""
"Soja (em grão)","2011","S","SC","Oeste Catarinense","Chapecó","Coronel Freitas","0,76","2,052","1469"
"Soja (em grão)","2018","S","PR","Centro Ocidental Paranaense","Goioerê","Campina da Lagoa","34,4","119,402",""
"Soja (em grão)","2013","S","RS","Noroeste Rio-grandense","Ijuí","Panambi","29,1","80,025","72023"
"Soja (em grão)","2009","S","PR","Centro Ocidental Paranaense","Campo Mourão","Corumbataí do Sul","1,6","3,248","2544"
"Soja (em grão)","2003","S","RS","Metropolitana de Porto Alegre","Camaquã","Chuvisca","","",""
"Soja (em grão)","1990","S","PR","Centro Ocidental Paranaense","Campo Mourão","Roncador","7,5","13,95","0,0456545454545455"
"Soja (em grão)","1990","S","RS","Centro Oriental Rio-grandense","Santa Cruz do Sul","Venâncio Aires","4","7,2","0,0252654545454545"
"Soja (em grão)","2003","S","RS","Noroeste Rio-grandense","Passo Fundo","Passo Fundo","36","108","67057"
"Soja (em grão)","2006","S","RS","Nordeste Rio-grandense","Guaporé","Protásio Alves","0,7","1,344","516"
"Soja (em grão)","2017","S","RS","Centro Oriental Rio-grandense","Cachoeira do Sul","Novo Cabrais","6,5","18,434","18065"
"Soja (em grão)","2002","S","PR","Norte Pioneiro Paranaense","Assaí","Uraí","9,4","18,8","7990"
"Soja (em grão)","1997","S","PR","Norte Central Paranaense","Apucarana","Marilândia do Sul","10,55","26,449","7009"
"Soja (em grão)","1995","S","PR","Norte Central Paranaense","Astorga","Nova Esperança","1,5","3,3","495"
"Soja (em grão)","2003","S","RS","Noroeste Rio-grandense","Santa Rosa","São José do Inhacorá","2,625","4,47","2514"
"Soja (em grão)","2012","S","SC","Oeste Catarinense","Xanxerê","Jupiá","1,5","2,475","2035"
"Soja (em grão)","1992","S","SC","Oeste Catarinense","São Miguel do Oeste","Iporã do Oeste","1","0,6","0,162615272727273"
"Soja (em grão)","2012","S","RS","Noroeste Rio-grandense","Sananduva","São José do Ouro","18","41,04","36567"
"Soja (em grão)","2012","S","SC","Vale do Itajaí","Blumenau","Benedito Novo","","",""
"Soja (em grão)","2013","S","SC","Sul Catarinense","Criciúma","Urussanga","","",""
"Soja (em grão)","1992","S","RS","Metropolitana de Porto Alegre","Montenegro","São Sebastião do Caí","","",""
"Soja (em grão)","2002","S","RS","Sudeste Rio-grandense","Serras de Sudeste","Candiota","","",""
"Soja (em grão)","2007","S","RS","Nordeste Rio-grandense","Caxias do Sul","Bento Gonçalves","","",""
"Soja (em grão)","2008","S","SC","Serrana","Campos de Lages","Correia Pinto","0,3","0,72","504"
"Soja (em grão)","2016","S","PR","Sudeste Paranaense","Prudentópolis","Teixeira Soares","39,1","127,79","143296"
"Soja (em grão)","2009","S","SC","Oeste Catarinense","Chapecó","Águas de Chapecó","0,9","1,62","1241"
"Soja (em grão)","1990","S","PR","Sudoeste Paranaense","Pato Branco","Mariópolis","7,16","16,468","0,0541527272727273"
"Soja (em grão)","2014","S","RS","Noroeste Rio-grandense","Santa Rosa","Santa Rosa","18","48,6","50949"
"Soja (em grão)","2016","S","PR","Metropolitana de Curitiba","Curitiba","Colombo","","",""
"Soja (em grão)","1996","S","SC","Serrana","Curitibanos","Curitibanos","1,198","2,387","573"
"Soja (em grão)","1991","S","PR","Oeste Paranaense","Toledo","Marechal Cândido Rondon","44,5","81,63","1,31403527272727"
"Soja (em grão)","1993","S","RS","Centro Oriental Rio-grandense","Lajeado-Estrela","Progresso","0,35","0,508","1,29854545454545"
"Soja (em grão)","2012","S","SC","Sul Catarinense","Araranguá","Jacinto Machado","","",""
"Soja (em grão)","1994","S","PR","Sudeste Paranaense","Prudentópolis","Teixeira Soares","10,2","25,5","4335"
"Soja (em grão)","2008","S","SC","Grande Florianópolis","Florianópolis","Biguaçu","","",""
"Soja (em grão)","1994","S","PR","Metropolitana de Curitiba","Curitiba","Colombo","","",""
"Soja (em grão)","2015","S","RS","Metropolitana de Porto Alegre","Osório","Balneário Pinhal","","",""
"Soja (em grão)","2015","S","SC","Oeste Catarinense","São Miguel do Oeste","Romelândia","0,5","1,425","1422"
"Soja (em grão)","2012","S","RS","Centro Ocidental Rio-grandense","Restinga Seca","São João do Polêsine","0,35","0,315","307"
"Soja (em grão)","1998","S","PR","Noroeste Paranaense","Umuarama","Esperança Nova","","",""
"Soja (em grão)","2002","S","SC","Vale do Itajaí","Ituporanga","Chapadão do Lageado","","",""
"Soja (em grão)","2000","S","PR","Oeste Paranaense","Toledo","Palotina","39,08","93,72","25867"
"Soja (em grão)","1998","S","RS","Centro Oriental Rio-grandense","Santa Cruz do Sul","Sobradinho","0,19","0,388","83"
"Soja (em grão)","2017","S","RS","Noroeste Rio-grandense","Soledade","Ibirapuitã","13,5","39,9","40618"
"Soja (em grão)","1996","S","PR","Oeste Paranaense","Toledo","Terra Roxa","25","54,893","11528"
"Soja (em grão)","1998","S","RS","Noroeste Rio-grandense","Erechim","Gaurama","3,36","7,258","1582"
"Soja (em grão)","2011","S","PR","Centro Ocidental Paranaense","Goioerê","Nova Cantu","19,24","61,515","40569"
"Soja (em grão)","2016","S","RS","Metropolitana de Porto Alegre","Montenegro","Brochier","0,002","0,003","3"
"Soja (em grão)","2002","S","SC","Oeste Catarinense","Xanxerê","São Domingos","9","20,16","9556"
"Soja (em grão)","2009","S","SC","Vale do Itajaí","Ituporanga","Atalanta","","",""
"Soja (em grão)","1994","S","RS","Metropolitana de Porto Alegre","Montenegro","Brochier","0,035","0,039","6"
"Soja (em grão)","2001","S","PR","Oeste Paranaense","Foz do Iguaçu","Foz do Iguaçu","4,5","15,75","3938"
"Soja (em grão)","1995","S","SC","Vale do Itajaí","Blumenau","Brusque","","",""
"Soja (em grão)","1991","S","RS","Noroeste Rio-grandense","Cerro Largo","Porto Xavier","7","3,5","0,0803727272727273"
"Soja (em grão)","1990","S","PR","Metropolitana de Curitiba","Paranaguá","Guaratuba","","",""
"Soja (em grão)","2014","S","PR","Sudoeste Paranaense","Pato Branco","Saudade do Iguaçu","2,9","6,456","6959"
